date,ticker,side,shares,price,value,cost
2026-07-13,600989,buy,9.6525,20.72,200.0,0.4
2026-07-13,600999,buy,9.7752,20.46,200.0,0.4
2026-07-13,601012,buy,17.1969,11.63,200.0,0.4
2026-07-13,601066,buy,7.5019,26.66,200.0,0.4
2026-07-13,601088,buy,4.6893,42.65,200.0,0.4
2026-07-13,601100,buy,1.8868,106.0,200.0,0.4
2026-07-13,601126,buy,3.9062,51.2,200.0,0.4
2026-07-13,601127,buy,3.7099,53.91,200.0,0.4
2026-07-13,601138,buy,3.1706,63.08,200.0,0.4
2026-07-13,601166,buy,11.4482,17.47,200.0,0.4
2026-07-13,601168,buy,6.5168,30.69,200.0,0.4
2026-07-13,601179,buy,16.1421,12.39,200.0,0.4
2026-07-13,601208,buy,4.0412,49.49,200.0,0.4
2026-07-13,601211,buy,10.9051,18.34,200.0,0.4
2026-07-13,601225,buy,8.3507,23.95,200.0,0.4
2026-07-13,601231,buy,7.1942,27.8,200.0,0.4
2026-07-13,601233,buy,10.3573,19.31,200.0,0.4
2026-07-13,601288,buy,31.3972,6.37,200.0,0.4
2026-07-13,601318,buy,4.038,49.53,200.0,0.4
2026-07-13,601328,buy,29.5421,6.77,200.0,0.4
2026-07-13,601336,buy,3.2268,61.98,200.0,0.4
2026-07-13,601398,buy,26.5604,7.53,200.0,0.4
2026-07-13,601600,buy,24.6609,8.11,200.0,0.4
2026-07-13,601601,buy,6.759,29.59,200.0,0.4
2026-07-13,601628,buy,5.3008,37.73,200.0,0.4
2026-07-13,601668,buy,43.1034,4.64,200.0,0.4
2026-07-13,601669,buy,43.4783,4.6,200.0,0.4
2026-07-13,601688,buy,10.101,19.8,200.0,0.4
2026-07-13,601689,buy,3.7071,53.95,200.0,0.4
2026-07-13,601698,buy,6.3371,31.56,200.0,0.4
2026-07-13,601727,buy,30.2572,6.61,200.0,0.4
2026-07-13,601728,buy,35.0263,5.71,200.0,0.4
2026-07-13,601766,buy,36.7647,5.44,200.0,0.4
2026-07-13,601857,buy,20.7039,9.66,200.0,0.4
2026-07-13,601868,buy,80.3213,2.49,200.0,0.4
2026-07-13,601869,buy,0.5237,381.87,200.0,0.4
2026-07-13,601872,buy,13.4862,14.83,200.0,0.4
2026-07-13,601888,buy,3.9285,50.91,200.0,0.4
2026-07-13,601899,buy,7.3099,27.36,200.0,0.4
2026-07-13,601919,buy,14.1643,14.12,200.0,0.4
2026-07-13,601939,buy,19.6464,10.18,200.0,0.4
2026-07-13,601958,buy,8.9928,22.24,200.0,0.4
2026-07-13,601985,buy,22.6757,8.82,200.0,0.4
2026-07-13,601988,buy,33.7838,5.92,200.0,0.4
2026-07-13,601991,buy,33.4448,5.98,200.0,0.4
2026-07-13,603005,buy,4.8567,41.18,200.0,0.4
2026-07-13,603019,buy,1.8845,106.13,200.0,0.4
2026-07-13,603061,buy,0.4876,410.21,200.0,0.4
2026-07-13,603067,buy,5.5081,36.31,200.0,0.4
2026-07-13,603083,buy,1.0792,185.32,200.0,0.4
2026-07-13,603119,buy,3.4861,57.37,200.0,0.4
2026-07-13,603127,buy,4.6501,43.01,200.0,0.4
2026-07-13,603179,buy,4.5988,43.49,200.0,0.4
2026-07-13,603186,buy,1.2429,160.92,200.0,0.4
2026-07-13,603228,buy,3.0474,65.63,200.0,0.4
2026-07-13,603256,buy,1.0582,189.0,200.0,0.4
2026-07-13,603259,buy,1.6633,120.24,200.0,0.4
2026-07-13,603268,buy,1.2275,162.93,200.0,0.4
2026-07-13,603290,buy,1.7095,116.99,200.0,0.4
2026-07-13,603296,buy,2.5256,79.19,200.0,0.4
2026-07-13,603306,buy,2.3943,83.53,200.0,0.4
2026-07-13,603308,buy,3.9944,50.07,200.0,0.4
2026-07-13,603379,buy,3.1586,63.32,200.0,0.4
2026-07-13,603459,buy,2.2766,87.85,200.0,0.4
2026-07-13,603501,buy,1.9514,102.49,200.0,0.4
2026-07-13,603629,buy,1.8493,108.15,200.0,0.4
2026-07-13,603650,buy,2.5119,79.62,200.0,0.4
2026-07-13,603659,buy,8.617,23.21,200.0,0.4
2026-07-13,603663,buy,2.8173,70.99,200.0,0.4
2026-07-13,603678,buy,3.7376,53.51,200.0,0.4
2026-07-13,603688,buy,3.2787,61.0,200.0,0.4
2026-07-13,603773,buy,1.8513,108.03,200.0,0.4
2026-07-13,603799,buy,5.0697,39.45,200.0,0.4
2026-07-13,603806,buy,14.7601,13.55,200.0,0.4
2026-07-13,603893,buy,0.9132,219.0,200.0,0.4
2026-07-13,603920,buy,5.0994,39.22,200.0,0.4
